**-----This file is generated by Lexer-----**,


Token,Value,Line,Offset,
600,// reverse a 2-digits number,1,1,
700,#include <stdio.h>,3,2,
205,int,4,2,
300,main,4,6,
137,'(',4,10,
138,')',4,11,
141,'{',5,2,
205,int,6,4,
300,raw,6,8,
125,',',6,11,
300,num10,6,13,
125,',',6,18,
300,num1,6,20,
131,';',6,24,
300,printf,7,4,
137,'(',7,10,
500,"Enter a two-digit number : ",7,11,
138,')',7,40,
131,';',7,41,
300,scanf,8,4,
137,'(',8,9,
500,"%d",8,10,
125,',',8,14,
112,'&',8,16,
300,raw,8,17,
138,')',8,20,
131,';',8,21,
300,num10,10,4,
111,'=',10,10,
300,raw,10,12,
104,'/',10,16,
401,10,10,18,
131,';',10,20,
300,num1,11,4,
111,'=',11,9,
300,raw,11,11,
146,'%',11,15,
401,10,11,17,
131,';',11,19,
300,printf,13,4,
137,'(',13,10,
500,"The reversal is : %d\n",13,11,
125,',',13,35,
300,num1,13,37,
103,'*',13,42,
401,10,13,44,
101,'+',13,47,
300,num10,13,49,
138,')',13,54,
131,';',13,55,
224,return,15,4,
401,0,15,11,
131,';',15,12,
142,'}',16,2,
